decimal size category,binary size category,provider,model,parameters (billions)
1,6,abacusai,dracarys-llama-3.1-70b-instruct,70
1,5,ai21labs,jamba-1.5-mini-instruct,52
2,9,deepseek,deepseek-r1-distill-qwen-7b,671
0,2,deepseek,deepseek-r1,7.62
1,4,google,gemma-3-1b-it,27
0,0,google,gemma-3-27b-it,1
0,3,ibm,granite-3.0-3b-a800m-instruct,8
0,1,ibm,granite-3.0-8b-instruct,3
1,6,meta,llama-3.1-405b-instruct,70
2,8,meta,llama-3.3-70b-instruct,405
2,7,meta,llama-4-maverick-17b-128e-instruct,109
0,1,microsoft,phi-3.5-moe-instruct,3.8
1,5,microsoft,phi-4-mini-instruct,60.8
1,4,mistralai,mistral-small-24b-instruct,24
2,7,mistralai,mixtral-8x22b-instruct-v0.1,141
1,5,nvidia,llama-3.3-nemotron-super-49b-v1,49
0,3,nvidia,mistral-nemo-minitron-8b-8k-instruct,8
2,7,openai,gpt-4o,200
2,6,qwen,qwen2.5-7b-instruct,122
0,2,qwen,qwen2.5-coder-32b-instruct,7
1,5,qwen,qwq-32b,32
1,5,writer,palmyra-creative-122b,32
0,2,zyphra,zamba2-7b-instruct,7
